"species","acou.CallDuration","acou.CallMinFrequency","acou.CallPeakFrequency","acou.CallMaxFrequency","acou.InterpulseInterval","acou.CallMidFrequency","acou.CallBandwidth","acou.CallSlope","acou.CallType","diet.FirstMainPreyItem","diet.SecondMainPreyItem","diet.ThirdMainPreyItem","fora.CriticalFeedingAreasForest","fora.CriticalFeedingAreasWoodedRiparianHabitat","fora.CriticalFeedingAreasWetland","fora.CriticalFeedingAreasWaterBodies","fora.CriticalFeedingAreasGrassland","fora.CriticalFeedingAreasHedgerows","fora.CriticalFeedingAreasOrchard","fora.CriticalFeedingAreasShrubland","fora.CriticalFeedingAreasOpenHabitat","fora.CriticalFeedingAreasUrbanParKGarden","life.LitterSize","morp.ForearmLength","morp.ThirdDigitLength","morp.FifthDigitLength","morp.BodyMass","morp.CM3","morp.LCBLCCRatio","morp.AspectRatioIndex","morp.WingLoadingIndex","roos.FirstMainMaternityRoost","roos.FirstMainHibernationRoost","roos.OvergroundRoostDependence.Castle","roos.OvergroundRoostDependence.Church","roos.OvergroundRoostDependence.House","roos.OvergroundRoostDependence.Barn","roos.OvergroundRoostDependence.Bridge","roos.OvergroundRoostDependence.Tree","spat.MaxRecordedMovement"
"Plecotus.auritus",2.51,23.76,38.4,48.15,79.68,35.73,24.91,6.95,"FM","Lepidoptera","Diptera","Coleoptera",1,0,0,0,0,0,0,0,0,1,1,39.12,65.19,51.19,7.89,5.4,14.95,2.06,7.13,"tree_roost","thermally_stable_underground_roosts","3","4","3","2","2","3",90
"Plecotus.austriacus",3.69,21.59,30.01,40.93,98.09,28.62,17.17,3.8,"FM","Lepidoptera","Coleoptera","Brachycera",1,0,1,0,1,0,1,0,0,1,1,40.36,68.55,53.12,9,5.95,16.15,2.09,7.23,"human-made_roost","thermally_stable_underground_roosts","3","4","3","2","1","2",79
"Hypsugo.savii",7.22,31.38,35.14,45.03,142.25,34.56,11.32,2.14,"FM/QCF","Diptera","Hemiptera","Coleoptera",1,1,1,0,1,0,1,0,0,1,1,33.92,58.06,43.16,7.26,4.65,12.9,2.17,8.94,"rock_crevices","thermally_stable_underground_roosts","1","1","2","2","1","1",250
"Pipistrellus.kuhlii",5.72,36.02,40.22,55.76,110.89,41.55,13.05,2.98,"FM/QCF","Diptera","Coleoptera","Lepidoptera",0,1,0,0,0,0,0,0,0,1,1,34.02,58.7,43.8,6.58,4.9,12.65,2.15,8.37,"tree_roost","tree_roost","2","2","5","2","2","2",5
"Pipistrellus.nathusii",6.41,37.71,40.46,52.26,114.14,39.55,10.96,2.3,"FM/QCF","Diptera","Hemiptera","Lepidoptera",1,1,1,0,0,0,0,0,0,0,1,34.04,60.98,45.2,7.89,4.65,12.9,2.12,9.55,"tree_roost","rock_crevices","1","2","4","2","2","4",2224
"Pipistrellus.pipistrellus",5.38,44.34,47.1,62.2,100.65,47.28,9.89,3.88,"FM/QCF","Diptera","Lepidoptera","Hemiptera",1,1,0,0,1,0,0,0,0,1,1,31.05,53.85,39.73,4.86,4.1,11.15,2.16,7.61,"human-made_roost","tree_roost","2","3","4","2","2","3",1123
"Pipistrellus.pygmaeus",5.12,52.62,55.83,74.5,84.77,55.3,25.95,7.86,"FM/QCF","Diptera","Ephemeroptera","Hemiptera",1,1,0,0,0,0,0,0,0,0,1,30.75,51.64,38.08,5.17,4.05,11.05,2.21,9.36,"tree_roost","tree_roost","2","2","3","2","2","3",6
"Miniopterus.schreibersii",6.05,49.21,53.62,74.17,86.2,54.25,20.64,4.32,"FM/QCF","Lepidoptera","Neuroptera","Diptera",1,1,0,0,0,1,1,0,0,0,1,45.22,86.18,53.29,12.43,5.75,14.85,2.48,8.97,"thermally_stable_underground_roosts","thermally_stable_underground_roosts","2","2","1","1","1","1",833
"Eptesicus.serotinus",7.07,24.98,30.38,45.01,125.87,32.79,18.11,2.97,"FM/QCF","Coleoptera","Diptera","Lepidoptera",1,0,0,0,1,0,0,0,0,0,1,52.12,89.67,65.13,23.29,7.55,20.1,2.2,11.91,"human-made_roost","thermally_stable_underground_roosts","2","3","4","2","1","1",330
"Eptesicus.nilssonii",10.14,26.56,29.25,37.98,230.58,29.26,7.98,-0.23,"FM/QCF","Diptera","Lepidoptera","Diptera",0,1,0,1,0,0,0,0,0,0,2,39.86,68,52.75,10.71,5.45,14.95,2.09,10.31,"human-made_roost","thermally_stable_underground_roosts","2","2","3","1","1","2",450
