Scientific_Name_ID,Diet.Inv,Diet.Vend,Diet.Vect,Diet.Vfish,Diet.Vunk,Diet.Scav,Diet.Fruit,Diet.Nect,Diet.Seed,Diet.PlantO,Diet.Category,Fora.WaterBelow,Fora.WaterSurface,Fora.Ground,Fora.Understory,Fora.MidHigh,Fora.Canopy,Fora.Aerial,Beha.Pelagic,Beha.Nocturnal,Morph.BodyMass,Phen.MigrantStatus,Morph.BeakLength,Morph.BeakWidth,Morph.BeakDepth,Morph.TarsusLength,Morph.WingLength,Morph.TailLength,Morph.HandWingIndex,Ecol.Habitat,Ecol.TrophicNiche,Ecol.PrimaryLifestyle
Aquila_chrysaetos,0,80,10,0,0,10,0,0,0,0,VertFishScav,0,0,100,0,0,0,0,0,0,4248,Partial migrant,56.8,18.5,28.4,101.4,603.1,307.1,36.7,Grassland,Vertivore,Aerial
Aquila_fasciata,0,90,10,0,0,0,0,0,0,0,VertFishScav,0,0,70,0,10,10,10,0,0,1936.5,Partial migrant,45.7,16.2,23.7,93.2,486.8,260,37.3,Rock,Vertivore,Aerial
Aquila_heliaca,0,70,20,0,0,10,0,0,0,0,VertFishScav,0,0,100,0,0,0,0,0,0,3125.2,Full migrant,59,19.8,28.4,93.7,582.2,316.2,39.5,Woodland,Vertivore,Generalist
Ardea_alba,40,10,30,20,0,0,0,0,0,0,VertFishScav,0,50,50,0,0,0,0,0,0,871.3,Partial migrant,126.3,12,18.1,141.6,378.8,140.5,32.1,Wetland,Aquatic predator,Terrestrial
Ardea_cinerea,20,10,10,60,0,0,0,0,0,0,VertFishScav,0,70,30,0,0,0,0,0,0,1443,Resident,138.9,18.7,25.4,137.9,441,169.1,34.6,Wetland,Aquatic predator,Terrestrial
Ardea_purpurea,30,20,30,20,0,0,0,0,0,0,VertFishScav,0,70,30,0,0,0,0,0,0,1064.5,Full migrant,125.9,13.6,19.6,117.5,349.7,113.2,33.9,Wetland,Aquatic predator,Terrestrial
Ardeola_ralloides,10,0,0,60,30,0,0,0,0,0,VertFishScav,0,50,50,0,0,0,0,0,0,287,Full migrant,72.8,9.1,11.8,59.4,213.1,75.8,32.4,Wetland,Aquatic predator,Terrestrial
Asio_flammeus,0,100,0,0,0,0,0,0,0,0,VertFishScav,0,0,90,0,10,0,0,0,1,322.6,Full migrant,27.3,9,13,42.5,297.2,146.5,47.5,Grassland,Vertivore,Aerial
Athene_noctua,70,20,10,0,0,0,0,0,0,0,Invertebrate,0,0,80,10,10,0,0,0,1,168.9,Resident,18.8,7.8,11.4,32.6,157,74.2,31.8,Human Modified,Omnivore,Insessorial
Aythya_ferina,10,0,10,10,0,0,0,0,20,50,PlantSeed,50,50,0,0,0,0,0,0,0,823,Resident,50.5,17.9,13.7,35,208.6,53.7,50.1,Wetland,Herbivore aquatic,Aquatic
Aythya_fuligula,50,0,0,0,0,10,0,0,20,20,Omnivore,60,40,0,0,0,0,0,0,0,701.2,Partial migrant,43.9,19.5,13.2,31.3,196.9,53.4,50.1,Wetland,Herbivore aquatic,Aquatic
Aythya_nyroca,10,0,10,10,0,0,0,0,20,50,PlantSeed,50,50,0,0,0,0,0,0,0,574,Full migrant,41.2,18.4,12.5,28.6,182.5,53,48.9,Wetland,Herbivore aquatic,Aquatic
Botaurus_stellaris,10,0,30,60,0,0,0,0,0,0,VertFishScav,0,50,50,0,0,0,0,0,0,1319.5,Partial migrant,77.3,11,16.1,94.3,323.8,98.3,31.2,Wetland,Aquatic predator,Terrestrial
Bubo_bubo,10,80,10,0,0,0,0,0,0,0,VertFishScav,0,0,80,10,10,0,0,0,1,2668.5,Resident,50.4,17.9,26,79.9,438.5,244.5,33,Rock,Vertivore,Insessorial
Buteo_buteo,0,90,10,0,0,0,0,0,0,0,VertFishScav,0,0,100,0,0,0,0,0,0,759.1,Partial migrant,35.9,12.6,16.6,75.8,382.9,214.4,38.3,Grassland,Vertivore,Insessorial
Calandrella_brachydactyla,60,0,0,0,0,0,0,0,20,20,Invertebrate,0,0,100,0,0,0,0,0,0,21.1,Partial migrant,12.6,4.3,5.1,19.8,93.5,59.8,34.5,Grassland,Omnivore,Terrestrial
Calidris_alpina,80,0,0,0,0,0,0,0,0,20,Invertebrate,0,20,80,0,0,0,0,0,0,51.9,Full migrant,36.9,2.9,4.3,24.7,115.1,48.6,53.4,Wetland,Aquatic predator,Terrestrial
Calidris_canutus,80,0,0,10,0,0,0,0,10,0,Invertebrate,0,0,100,0,0,0,0,0,0,141.9,Full migrant,37.5,4.1,5.7,29.9,164.4,60.4,57.9,Coastal,Aquatic predator,Terrestrial
Calidris_falcinellus,80,0,0,0,0,0,0,0,20,0,Invertebrate,0,20,80,0,0,0,0,0,0,37.1,Full migrant,32.8,3.7,4.4,21.1,99.2,36.6,53.9,Wetland,Aquatic predator,Terrestrial
Calidris_ferruginea,80,0,0,0,0,0,0,0,20,0,Invertebrate,0,50,50,0,0,0,0,0,0,58.1,Full migrant,38.5,3.2,4.3,29.1,129,48.6,54.9,Coastal,Aquatic predator,Terrestrial
Calidris_minuta,70,0,0,0,0,0,0,0,0,30,Invertebrate,0,50,50,0,0,0,0,0,0,21.1,Full migrant,20.4,2.5,3.3,21.5,93.2,35.6,50.6,Grassland,Aquatic predator,Terrestrial
Calidris_pugnax,50,0,10,10,0,0,0,0,10,20,Omnivore,0,20,60,20,0,0,0,0,0,131.7,Full migrant,37.6,3.8,5.1,42.9,163.7,60,51,Wetland,Aquatic predator,Terrestrial
Calidris_temminckii,90,0,0,0,0,0,0,0,0,10,Invertebrate,0,20,80,0,0,0,0,0,0,23,Full migrant,19,2.3,3.1,17.8,96.7,46.2,50,Grassland,Aquatic predator,Terrestrial
Caprimulgus_europaeus,100,0,0,0,0,0,0,0,0,0,Invertebrate,0,0,20,60,10,0,10,0,1,67,Full migrant,20.2,4.5,3.1,17.3,183.2,130.6,53.4,Shrubland,Invertivore,Aerial
Caprimulgus_ruficollis,100,0,0,0,0,0,0,0,0,0,Invertebrate,0,0,30,10,20,0,40,0,1,68.5,Full migrant,23.7,5,3,20.4,198.2,147.8,54,Forest,Invertivore,Aerial
Carduelis_carduelis,10,0,0,0,0,0,20,0,40,30,PlantSeed,0,0,20,60,20,0,0,0,0,16,Resident,15.4,5.5,7.2,14.7,77.4,48.6,33.4,Woodland,Granivore,Insessorial
Carduelis_corsicana,20,0,0,0,0,0,0,0,40,40,PlantSeed,0,0,100,0,0,0,0,0,0,12,Resident,10.6,4.2,5.3,14.5,72.1,51,29.4,Shrubland,Granivore,Generalist
Carpodacus_erythrinus,10,0,0,0,0,0,20,10,30,30,PlantSeed,0,0,50,50,0,0,0,0,0,24,Full migrant,12,6.8,7.9,16.4,80.2,58.6,30.8,Shrubland,Granivore,Insessorial
Cecropis_rufula,100,0,0,0,0,0,0,0,0,0,Invertebrate,0,0,0,30,20,20,30,0,0,22.2,Full migrant,11.3,3.8,3,14.3,122.2,96.1,53.2,Grassland,Invertivore,Aerial
Certhia_brachydactyla,70,0,0,0,0,0,0,0,30,0,Invertebrate,0,0,40,30,30,0,0,0,0,8.2,Resident,18.7,2,2.5,14.9,62.1,57.1,17.7,Forest,Invertivore,Insessorial
